User ID,Product Code,Payment Status,Coupon code,Lead Registered Time,Sales Date,Source,Product Amount with GST,Payment Mode,Currency  Code,Transaction Bank
user1,Product1,Initiated,,"Aug 1, 2022 04:55 am","Jul 31, 2022",Direct,3999,,INR,
user2,Product2,Initiated,,"Aug 1, 2022 04:46 am","Jul 31, 2022",Direct,999,,INR,
user4,Product3,Initiated,,"Aug 1, 2022 03:21 am","Jul 31, 2022",Direct,1999,,INR,
user6,Product3,Initiated,,"Aug 1, 2022 12:56 am","Jul 31, 2022",Direct,1999,,INR,
user8,Product4,Initiated,,"Aug 1, 2022 12:46 am","Jul 31, 2022",Direct,2022,,INR,
user11,Product5,Initiated,,"Aug 1, 2022 12:35 am","Jul 31, 2022",Direct,149,,USD,
user1,Product1,Initiated,,"Aug 1, 2022 04:47 am","Jul 31, 2022",Direct,3999,,INR,
user13,Product2,Initiated,,"Aug 1, 2022 02:28 am","Jul 31, 2022",Direct,999,,INR,
user14,Product4,Initiated,,"Aug 1, 2022 01:38 am","Jul 31, 2022",Direct,2022,,INR,
user21,Product1,Initiated,,"Aug 1, 2022 12:04 am","Jul 31, 2022",Direct,3999,,INR,
user22,Product4,Initiated,,"Aug 1, 2022 12:03 am","Jul 31, 2022",Direct,2022,,INR,
user24,Product6,Initiated,,"Jul 31, 2022 11:40 pm","Jul 31, 2022",Direct,899,,INR,
user25,Product7,Initiated,,"Jul 31, 2022 11:35 pm","Jul 31, 2022",Direct,499,,INR,
user26,Product3,Initiated,,"Jul 31, 2022 11:18 pm","Jul 31, 2022",Direct,1999,,INR,
user27,Product8,Initiated,,"Jul 31, 2022 11:16 pm","Jul 31, 2022",Influencer,1499,,INR,
user1,Product1,Initiated,,"Aug 1, 2022 04:50 am","Jul 31, 2022",Direct,3999,,INR,
user28,Product1,Initiated,,"Aug 1, 2022 04:46 am","Jul 31, 2022",Direct,3999,,INR,
user28,Product1,Initiated,,"Aug 1, 2022 04:45 am","Jul 31, 2022",Direct,3999,,INR,
user30,Product9,paid,,"Aug 1, 2022 01:22 am","Jul 31, 2022",Direct,999,wallet,INR,NA
user32,Product10,paid,,"Aug 1, 2022 12:07 am","Jul 31, 2022",Direct,999,upi,INR,NA
user26,Product3,Initiated,,"Jul 31, 2022 11:20 pm","Jul 31, 2022",Direct,1999,,INR,
user34,Product11,Initiated,,"Jul 31, 2022 11:07 pm","Jul 31, 2022",Direct,1499,,INR,
user35,Product8,Initiated,,"Jul 31, 2022 10:53 pm","Jul 31, 2022",Influencer,1499,,INR,
user11,Product5,Initiated,,"Aug 1, 2022 12:19 am","Jul 31, 2022",Direct,149,,USD,
user37,Product4,Initiated,,"Aug 1, 2022 12:09 am","Jul 31, 2022",Direct,2022,,INR,
user38,Product10,Initiated,,"Jul 31, 2022 11:46 pm","Jul 31, 2022",Direct,999,,INR,
user27,Product8,Initiated,,"Jul 31, 2022 11:15 pm","Jul 31, 2022",Influencer,1499,,INR,
user40,Product3,Initiated,,"Jul 31, 2022 10:54 pm","Jul 31, 2022",Direct,1999,,INR,
user43,Product3,Initiated,,"Jul 31, 2022 10:11 pm","Jul 31, 2022",Direct,1999,,INR,
user45,Product8,Initiated,,"Jul 31, 2022 09:57 pm","Jul 31, 2022",Influencer,1499,,INR,
user46,Product2,Initiated,,"Jul 31, 2022 09:48 pm","Jul 31, 2022",Direct,999,,INR,
user50,Product2,Initiated,,"Jul 31, 2022 09:10 pm","Jul 31, 2022",Direct,999,,INR,
user51,Product12,Initiated,,"Jul 31, 2022 08:28 pm","Jul 31, 2022",Influencer,1499,,INR,
user53,Product4,Initiated,,"Jul 31, 2022 08:19 pm","Jul 31, 2022",Direct,2022,,INR,
user54,Product13,Initiated,,"Jul 31, 2022 08:12 pm","Jul 31, 2022",Direct,999,,INR,
user57,Product2,Initiated,,"Jul 31, 2022 07:33 pm","Jul 31, 2022",Direct,999,,INR,
user59,Product1,Initiated,,"Jul 31, 2022 07:15 pm","Jul 31, 2022",Direct,3999,,INR,
user60,Product3,Initiated,,"Jul 31, 2022 11:02 pm","Jul 31, 2022",Email,149,,USD,
user40,Product3,Initiated,,"Jul 31, 2022 11:02 pm","Jul 31, 2022",Direct,1999,,INR,
user62,Product4,Initiated,,"Jul 31, 2022 11:00 pm","Jul 31, 2022",Direct,2022,,INR,
user60,Product3,Initiated,,"Jul 31, 2022 10:50 pm","Jul 31, 2022",Direct,149,,USD,
user63,Product4,Initiated,,"Jul 31, 2022 10:47 pm","Jul 31, 2022",Direct,2022,,INR,
user64,Product9,Initiated,,"Jul 31, 2022 10:38 pm","Jul 31, 2022",Direct,999,,INR,
user65,Product3,Initiated,,"Jul 31, 2022 10:37 pm","Jul 31, 2022",Direct,1999,,INR,
user68,Product3,Initiated,,"Jul 31, 2022 10:05 pm","Jul 31, 2022",Direct,1999,,INR,
user45,Product8,Initiated,,"Jul 31, 2022 09:55 pm","Jul 31, 2022",Influencer,1499,,INR,
user70,Product4,Initiated,,"Jul 31, 2022 09:42 pm","Jul 31, 2022",Direct,2022,,INR,
user71,Product9,Initiated,,"Jul 31, 2022 09:30 pm","Jul 31, 2022",Direct,999,,INR,
user72,Product4,Initiated,,"Jul 31, 2022 09:22 pm","Jul 31, 2022",Direct,2022,,INR,
user74,Product2,Initiated,,"Jul 31, 2022 08:54 pm","Jul 31, 2022",Direct,999,,INR,
user74,Product2,Initiated,,"Jul 31, 2022 08:53 pm","Jul 31, 2022",Direct,999,,INR,
user76,Product12,Initiated,,"Jul 31, 2022 08:33 pm","Jul 31, 2022",Direct,1499,,INR,
user77,Product10,Initiated,,"Jul 31, 2022 08:07 pm","Jul 31, 2022",Direct,999,,INR,
user58,Product10,Initiated,,"Jul 31, 2022 07:26 pm","Jul 31, 2022",Direct,999,,INR,
user60,Product3,Initiated,,"Jul 31, 2022 10:53 pm","Jul 31, 2022",Direct,149,,USD,
user83,Product3,Initiated,,"Jul 31, 2022 10:51 pm","Jul 31, 2022",Direct,1999,,INR,
user43,Product3,Initiated,,"Jul 31, 2022 10:12 pm","Jul 31, 2022",Direct,1999,,INR,
user68,Product3,Initiated,,"Jul 31, 2022 10:05 pm","Jul 31, 2022",Direct,1999,,INR,
user63,Product4,Initiated,,"Jul 31, 2022 09:59 pm","Jul 31, 2022",Direct,2022,,INR,
user87,Product11,Initiated,,"Jul 31, 2022 09:12 pm","Jul 31, 2022",Direct,1499,,INR,
user90,Product8,Initiated,,"Jul 31, 2022 08:37 pm","Jul 31, 2022",Influencer,59,,USD,
user93,Product3,Initiated,,"Jul 31, 2022 07:35 pm","Jul 31, 2022",Direct,1999,,INR,
user98,Product3,paid,,"Jul 31, 2022 06:24 pm","Jul 31, 2022",Direct,1999,paylater,INR,NA
user99,Product8,Initiated,,"Jul 31, 2022 06:20 pm","Jul 31, 2022",Influencer,59,,USD,
user100,Product3,Initiated,,"Jul 31, 2022 06:19 pm","Jul 31, 2022",Direct,1999,,INR,
user101,Product9,Initiated,,"Jul 31, 2022 06:00 pm","Jul 31, 2022",Direct,999,,INR,
user104,Product4,Initiated,,"Jul 31, 2022 05:02 pm","Jul 31, 2022",Direct,2022,,INR,
user105,Product2,Initiated,,"Jul 31, 2022 04:51 pm","Jul 31, 2022",Direct,999,,INR,
user98,Product3,Initiated,,"Jul 31, 2022 06:17 pm","Jul 31, 2022",Direct,1999,,INR,
user98,Product3,Initiated,,"Jul 31, 2022 06:15 pm","Jul 31, 2022",Direct,1999,,INR,
user110,Product4,Initiated,,"Jul 31, 2022 04:51 pm","Jul 31, 2022",Direct,2022,,INR,
user111,Product14,paid,,"Jul 31, 2022 04:45 pm","Jul 31, 2022",Direct,699,upi,INR,NA
user105,Product2,paid,,"Jul 31, 2022 04:40 pm","Jul 31, 2022",Direct,999,upi,INR,NA
user60,Product3,Initiated,,"Jul 31, 2022 04:38 pm","Jul 31, 2022",Direct,149,,USD,
user113,Product4,Initiated,,"Jul 31, 2022 03:13 pm","Jul 31, 2022",Direct,2022,,INR,
user115,Product2,paid,,"Jul 31, 2022 03:04 pm","Jul 31, 2022",Direct,999,upi,INR,NA
user117,Product15,Initiated,,"Jul 31, 2022 02:45 pm","Jul 31, 2022",Direct,1999,,INR,
user118,Product4,Initiated,,"Jul 31, 2022 02:28 pm","Jul 31, 2022",Direct,2022,,INR,
user121,Product9,Initiated,,"Jul 31, 2022 01:45 pm","Jul 31, 2022",Direct,999,,INR,
user122,Product16,Initiated,,"Jul 31, 2022 01:30 pm","Jul 31, 2022",Influencer,1499,,INR,
user124,Product2,Initiated,,"Jul 31, 2022 12:18 pm","Jul 31, 2022",Direct,999,,INR,
user125,Product17,paid,Coupon1,"Jul 31, 2022 05:57 pm","Jul 31, 2022",Paid,374,upi,INR,NA
user127,Product4,Initiated,,"Jul 31, 2022 05:01 pm","Jul 31, 2022",Direct,2022,,INR,
user128,Product18,Initiated,,"Jul 31, 2022 04:42 pm","Jul 31, 2022",Direct,1999,,INR,
user130,Product8,Initiated,,"Jul 31, 2022 03:55 pm","Jul 31, 2022",Influencer,1499,,INR,
user132,Product19,Initiated,,"Jul 31, 2022 03:39 pm","Jul 31, 2022",Direct,2999,,INR,
user133,Product4,Initiated,,"Jul 31, 2022 03:26 pm","Jul 31, 2022",Direct,2022,,INR,
user133,Product4,Initiated,,"Jul 31, 2022 03:25 pm","Jul 31, 2022",Direct,2022,,INR,
user133,Product4,Initiated,,"Jul 31, 2022 03:25 pm","Jul 31, 2022",Direct,2022,,INR,
user134,Product8,Initiated,,"Jul 31, 2022 03:24 pm","Jul 31, 2022",Influencer,1499,,INR,
user115,Product2,Initiated,,"Jul 31, 2022 02:59 pm","Jul 31, 2022",Direct,999,,INR,
user136,Product5,Initiated,,"Jul 31, 2022 02:10 pm","Jul 31, 2022",Direct,1999,,INR,
user122,Product20,Initiated,,"Jul 31, 2022 01:34 pm","Jul 31, 2022",Influencer,1499,,INR,
user122,Product16,Initiated,,"Jul 31, 2022 01:28 pm","Jul 31, 2022",Influencer,1499,,INR,
user139,Product8,Initiated,Coupon2,"Jul 31, 2022 01:07 pm","Jul 31, 2022",Influencer,1499,,INR,
user142,Product5,Initiated,,"Jul 31, 2022 12:12 pm","Jul 31, 2022",Direct,1999,,INR,
user143,Product15,Initiated,,"Jul 31, 2022 11:50 am","Jul 31, 2022",Direct,1999,,INR,
user143,Product15,Initiated,,"Jul 31, 2022 11:49 am","Jul 31, 2022",Direct,1999,,INR,
